ari,nmi,purity,init,seed
0.5193030258472223,0.6893744622363506,0.7223101265822784,stratified,26
0.5098830692107993,0.7067279793404585,0.742879746835443,stratified,27
0.5048175787256421,0.7070096445244515,0.7531645569620253,stratified,28
0.46159686626907875,0.6834030447244902,0.7294303797468354,stratified,29
0.5134848953901536,0.7051840747581336,0.7539556962025317,stratified,30
0.5015940943139483,0.6979517164442692,0.7159810126582279,stratified,31
0.48291544672763775,0.6854758743535159,0.7001582278481012,stratified,32
0.5147932980880323,0.7126077614985359,0.7587025316455697,stratified,33
0.4486814424427685,0.6754082668345923,0.7033227848101266,stratified,34
0.45330245327450003,0.6797251819748307,0.7112341772151899,stratified,35
0.5356557009229317,0.7283481149458145,0.757120253164557,stratified,36
0.4950917712099318,0.6975611909819861,0.7365506329113924,stratified,37
0.5029068455173015,0.7044339540730877,0.7310126582278481,stratified,38
0.4750041577609699,0.6952482618921636,0.7215189873417721,stratified,39
0.47872220980871083,0.6706027585462464,0.7128164556962026,stratified,40
0.45463128933571517,0.6850729009914127,0.7199367088607594,stratified,41
0.4818779378594539,0.6984737358060968,0.7333860759493671,stratified,42
0.461445034978614,0.6742992030272469,0.6962025316455697,stratified,43
0.4680686821647616,0.6795464630165016,0.7120253164556962,stratified,44
0.4432361785277341,0.6806001845756563,0.7064873417721519,stratified,45
0.4868969993785488,0.6933077991443773,0.7128164556962026,stratified,46
0.4802196019731167,0.6836877002450035,0.7112341772151899,stratified,47
0.4389147230991771,0.6518527085142369,0.6685126582278481,stratified,48
0.4735596752009304,0.6881568589636812,0.7080696202531646,stratified,49
0.45452142148823155,0.6760776710166555,0.7041139240506329,stratified,50
0.4523705682475154,0.66612393032807,0.692246835443038,stratified,51
0.4785210153878331,0.6942936383379842,0.7231012658227848,stratified,52
0.5371402918092775,0.7262000416957145,0.7705696202531646,stratified,53
0.4997166649790191,0.7064212053529914,0.7349683544303798,stratified,54
0.4036247221840862,0.6338101148858718,0.6574367088607594,stratified,55
0.5118303028928517,0.7066402670820675,0.7325949367088608,stratified,56
0.4574725294955731,0.6805503737375019,0.7104430379746836,stratified,57
0.4830039370217895,0.7025640958479005,0.7207278481012658,stratified,58
0.47140024131030817,0.6791768352159221,0.7136075949367089,stratified,59
0.4727166226183372,0.6726301855923855,0.7104430379746836,stratified,60
0.4129294784976279,0.6410906057056269,0.6629746835443038,stratified,61
0.4386990447879653,0.6731194082773284,0.7041139240506329,stratified,62
0.5004808249333615,0.7097518236118088,0.7515822784810127,stratified,63
0.43481328502118266,0.6596504066231007,0.678006329113924,stratified,64
0.5003562884585164,0.7026124854571635,0.7373417721518988,stratified,65
0.5254530584018307,0.7014468952340818,0.7333860759493671,stratified,66
0.5324929916194687,0.6989550813080373,0.7373417721518988,stratified,67
0.4829242719885135,0.6936600088591258,0.7302215189873418,stratified,68
0.5000169642248258,0.7026139411048129,0.7357594936708861,stratified,69
0.4788390565535915,0.6879538213229264,0.7175632911392406,stratified,70
0.5156572531976569,0.6905671971296636,0.7088607594936709,stratified,71
0.45175525695077673,0.6763176137741883,0.7136075949367089,stratified,72
0.49535587859846564,0.691287849825625,0.7531645569620253,stratified,73
0.5002670570554901,0.7041611846257847,0.7397151898734177,stratified,74
0.4891085125508539,0.7062234064019369,0.747626582278481,stratified,75
0.43430219168454165,0.6693255189303214,0.6914556962025317,stratified,76
0.5002268135196315,0.7047274834558497,0.7420886075949367,stratified,77
0.47282131945079886,0.6885354509340686,0.7381329113924051,stratified,78
0.5039096391504928,0.7228303049622641,0.7436708860759493,stratified,79
0.48365257977801035,0.6948009066996497,0.7191455696202531,stratified,80
0.48644120259853346,0.6935763097243671,0.7286392405063291,stratified,81
0.49963604979089743,0.7086966062573734,0.7381329113924051,stratified,82
0.4693362467438645,0.6722844105244646,0.7064873417721519,stratified,83
0.4731523583857707,0.6881780633215341,0.7357594936708861,stratified,84
0.5485405964031939,0.7354383076820866,0.7879746835443038,stratified,85
0.47657026005090963,0.6807808828065698,0.7096518987341772,stratified,86
0.45047659686881597,0.6920591627932337,0.7207278481012658,stratified,87
0.5009826701607296,0.7093480888348004,0.752373417721519,stratified,88
0.49080411113380323,0.6801927430793483,0.7183544303797469,stratified,89
0.47170905210590236,0.6853122650766761,0.7112341772151899,stratified,90
0.41998994354800495,0.6491155885968392,0.6677215189873418,stratified,91
0.4892672651621662,0.6989718555306322,0.7357594936708861,stratified,92
0.45144985179142905,0.6787375434096189,0.7199367088607594,stratified,93
0.47051513505166864,0.6771108630867071,0.7088607594936709,stratified,94
0.44375827489645875,0.6702050037105898,0.7072784810126582,stratified,95
0.45910159937971295,0.690211187129378,0.7128164556962026,stratified,96
0.4662613309711788,0.6726088531828841,0.6962025316455697,stratified,97
0.49884216613845384,0.6871099468075794,0.7207278481012658,stratified,98
0.3891012251981632,0.6346265258757025,0.627373417721519,stratified,99
